product_id,category,brand,price
P00142,home,Alpina,37.67
P00143,apparel,Leafy,60.93
P00144,grocery,Leafy,66.75
P00145,sports,Kairo,17.89
P00146,sports,Sonic,31.46
P00147,sports,Zentra,59.72
P00148,apparel,Acme,22.37
P00149,sports,Leafy,9.81
P00150,beauty,Kairo,12.99
P00151,electronics,Nova,13.63
P00152,electronics,Zentra,17.8
P00153,electronics,Sonic,14.55
P00154,grocery,Kairo,50.42
P00155,sports,Sonic,20.21
P00156,home,Alpina,59.31
P00157,apparel,Leafy,11.12
P00158,beauty,Nova,19.16
P00159,sports,Zentra,26.39
P00160,sports,Zentra,43.27
P00161,beauty,Kairo,54.63
P00162,electronics,Leafy,16.83
P00163,beauty,Zentra,49.18
P00164,beauty,Alpina,7.56
P00165,apparel,Kairo,45.15
P00166,apparel,Leafy,9.6
P00167,sports,Nova,33.54
P00168,home,Acme,54.08
P00169,grocery,Kairo,45.65
P00170,electronics,Kairo,7.79
P00171,apparel,Kairo,17.94
P00172,beauty,Nova,40.52
P00173,beauty,Sonic,39.72
P00174,grocery,Sonic,29.76
P00175,electronics,Zentra,5.25
P00176,electronics,Sonic,56.75
P00177,grocery,Nova,64.29
P00178,beauty,Leafy,27.51
P00179,beauty,Kairo,28.79
P00180,grocery,Zentra,34.89
P00181,apparel,Zentra,68.19
P00182,electronics,Alpina,29.24
P00183,apparel,Leafy,21.46
P00184,grocery,Zentra,32.04
P00185,sports,Kairo,24.34
P00186,electronics,Acme,24.54
P00187,beauty,Leafy,7.13
P00188,grocery,Leafy,35.37
P00189,electronics,Leafy,55.7
P00190,sports,Kairo,50.11
P00191,beauty,Zentra,47.74
P00192,grocery,Kairo,23.64
P00193,sports,Kairo,27.17
P00194,home,Nova,56.49
P00195,grocery,Nova,45.02
P00196,home,Acme,69.44
P00197,sports,Kairo,15.32
P00198,grocery,Zentra,15.25
P00199,sports,Leafy,19.44
P00200,beauty,Leafy,12.68
P00201,grocery,Sonic,9.73
P00202,sports,Zentra,34.06
P00203,home,Sonic,32.47
P00204,sports,Alpina,29.15
P00205,home,Sonic,31.43
P00206,beauty,Leafy,8.81
P00207,electronics,Alpina,17.53
P00208,electronics,Leafy,19.98
P00209,home,Zentra,25.38
P00210,electronics,Alpina,8.83
P00211,beauty,Leafy,12.81
P00212,apparel,Leafy,18.07
P00213,home,Zentra,51.46
P00214,apparel,Kairo,29.47
P00215,grocery,Alpina,50.15
P00216,grocery,Alpina,22.52
P00217,electronics,Acme,24.55
P00218,home,Nova,34.79
P00219,grocery,Sonic,21.67
P00220,home,Acme,15.84
P00221,grocery,Zentra,8.65
P00222,electronics,Sonic,16.14
P00223,home,Sonic,44.05
P00224,grocery,Acme,59.29
P00225,apparel,Nova,14.28
P00226,electronics,Sonic,7.29
P00227,beauty,Alpina,46.93
P00228,electronics,Alpina,25.75
P00229,apparel,Nova,9.56
P00230,beauty,Sonic,2.78
P00231,grocery,Kairo,12.5
P00232,electronics,Zentra,17.74
P00233,home,Kairo,10.96
P00234,beauty,Acme,39.82
P00235,home,Acme,13.89
P00236,home,Nova,24.75
P00237,sports,Zentra,129.21
P00238,beauty,Zentra,26.63
P00239,electronics,Acme,22.63
P00240,electronics,Kairo,22.99
P00241,electronics,Acme,39.19
P00242,home,Leafy,35.93
P00243,apparel,Acme,12.15
P00244,home,Sonic,18.4
P00245,apparel,Zentra,15.38
P00246,sports,Sonic,20.13
P00247,apparel,Acme,88.11
P00248,grocery,Kairo,37.8
P00249,apparel,Sonic,23.2
P00250,apparel,Zentra,58.63
P00251,grocery,Acme,27.99
P00252,sports,Sonic,7.79
P00253,electronics,Sonic,78.63
P00254,electronics,Nova,21.99
P00255,electronics,Acme,5.06
P00256,beauty,Nova,8.01
P00257,sports,Zentra,54.02
P00258,grocery,Sonic,8.1
P00259,apparel,Nova,63.08
P00260,electronics,Nova,25.96
P00261,home,Zentra,40.44
P00262,electronics,Zentra,20.5
P00263,electronics,Leafy,35.39
P00264,beauty,Kairo,30.62
P00265,home,Kairo,23.88
P00266,grocery,Nova,11.64
P00267,sports,Acme,31.53
P00268,sports,Leafy,6.88
P00269,grocery,Leafy,47.09
P00270,home,Acme,28.16
P00271,apparel,Alpina,33.95
P00272,beauty,Leafy,3.93
P00273,beauty,Leafy,11.16
P00274,apparel,Kairo,17.22
P00275,beauty,Sonic,39.31
P00276,grocery,Acme,12.68
P00277,apparel,Sonic,146.0
P00278,grocery,Acme,20.4
P00279,electronics,Alpina,12.05
P00280,grocery,Alpina,21.52
P00281,grocery,Zentra,12.61
P00282,grocery,Kairo,10.71
P00283,home,Sonic,49.78
P00284,grocery,Leafy,35.14
P00285,sports,Kairo,35.21
P00286,electronics,Alpina,59.96
P00287,grocery,Nova,34.49
P00288,grocery,Nova,11.62
P00289,apparel,Leafy,40.29
P00290,apparel,Kairo,11.15
P00291,sports,Acme,17.56
P00292,home,Sonic,23.76
P00293,sports,Zentra,22.13
P00294,home,Leafy,7.0
P00295,apparel,Leafy,12.46
P00296,apparel,Nova,24.15
P00297,sports,Leafy,16.0
P00298,home,Alpina,53.97
P00299,electronics,Leafy,60.84
P00300,sports,Sonic,11.2
P00301,beauty,Alpina,25.58
P00302,electronics,Alpina,74.28
P00303,apparel,Kairo,22.33
P00304,home,Acme,18.45
P00305,grocery,Sonic,44.8
P00306,home,Kairo,20.25
P00307,grocery,Nova,59.72
P00308,beauty,Zentra,16.18
P00309,grocery,Leafy,17.6
P00310,sports,Alpina,42.65
P00311,apparel,Sonic,26.32
P00312,beauty,Zentra,26.47
P00313,electronics,Acme,6.45
P00314,beauty,Sonic,19.16
P00315,apparel,Zentra,44.92
P00316,beauty,Acme,14.17
P00317,sports,Zentra,40.06
P00318,apparel,Zentra,29.59
P00319,home,Nova,21.33
P00320,sports,Nova,63.46
P00321,beauty,Zentra,19.34
P00322,home,Leafy,20.31
P00323,electronics,Leafy,21.16
P00324,electronics,Zentra,25.96
P00325,sports,Nova,41.97
P00326,grocery,Leafy,8.75
P00327,home,Alpina,45.04
P00328,electronics,Leafy,25.73
P00329,apparel,Kairo,36.16
P00330,grocery,Alpina,130.88
P00331,beauty,Leafy,17.15
P00332,electronics,Sonic,10.41
P00333,apparel,Acme,28.1
P00334,beauty,Sonic,31.39
P00335,sports,Nova,45.16
P00336,apparel,Sonic,16.83
P00337,beauty,Sonic,13.72
P00338,grocery,Acme,8.39
P00339,grocery,Kairo,9.42
P00340,beauty,Kairo,18.34
P00341,home,Acme,22.61
P00342,electronics,Leafy,104.13
P00343,home,Alpina,7.5
P00344,electronics,Acme,31.02
P00345,sports,Acme,14.76
P00346,sports,Acme,28.67
P00347,home,Kairo,16.66
P00348,electronics,Sonic,50.64
P00349,sports,Zentra,50.42
P00350,electronics,Leafy,22.67
P00351,apparel,Nova,67.18
P00352,grocery,Nova,41.77
P00353,grocery,Sonic,65.03
P00354,sports,Alpina,23.8
P00355,home,Zentra,47.76
P00356,electronics,Nova,14.33
P00357,sports,Nova,13.35
P00358,home,Kairo,112.83
P00359,beauty,Kairo,11.47
P00360,electronics,Alpina,18.08
P00361,beauty,Zentra,6.5
P00362,beauty,Nova,13.57
P00363,home,Zentra,12.23
P00364,electronics,Sonic,15.35
P00365,home,Leafy,30.26
P00366,home,Alpina,35.83
P00367,beauty,Kairo,12.12
P00368,apparel,Zentra,14.11
P00369,electronics,Alpina,52.38
P00370,grocery,Acme,80.94
P00371,apparel,Acme,59.09
P00372,electronics,Alpina,7.75
P00373,grocery,Alpina,56.41
P00374,beauty,Kairo,89.8
P00375,apparel,Nova,7.48
P00376,home,Alpina,52.35
P00377,beauty,Alpina,28.72
P00378,beauty,Alpina,19.51
P00379,home,Leafy,26.43
P00380,apparel,Sonic,33.46
P00381,electronics,Nova,55.16
P00382,grocery,Kairo,53.21
P00383,beauty,Kairo,8.54
P00384,grocery,Kairo,15.58
P00385,beauty,Alpina,26.19
P00386,apparel,Zentra,73.74
P00387,apparel,Acme,3.64
P00388,apparel,Kairo,16.0
P00389,home,Zentra,8.42
P00390,grocery,Leafy,9.41
P00391,beauty,Leafy,48.91
P00392,home,Alpina,16.91
P00393,beauty,Nova,4.79
P00394,grocery,Alpina,21.96
P00395,home,Acme,102.01
P00396,grocery,Alpina,6.93
P00397,electronics,Zentra,35.63
P00398,apparel,Acme,73.51
P00399,apparel,Leafy,23.7
P00400,apparel,Kairo,94.59
P00401,apparel,Nova,15.46
P00402,home,Zentra,67.5
P00403,beauty,Nova,57.22
P00404,sports,Sonic,23.98
P00405,home,Zentra,8.66
P00406,home,Alpina,12.17
P00407,apparel,Leafy,4.75
P00408,beauty,Alpina,37.18
P00409,beauty,Acme,34.19
P00410,sports,Alpina,25.93
P00411,beauty,Alpina,22.51
P00412,beauty,Nova,63.45
P00413,beauty,Kairo,30.22
P00414,electronics,Kairo,16.64
P00415,electronics,Leafy,27.2
P00416,home,Zentra,102.85
P00417,electronics,Alpina,37.92
P00418,electronics,Kairo,18.67
P00419,electronics,Acme,23.78
P00420,electronics,Nova,33.93
P00421,apparel,Acme,18.27
P00422,apparel,Leafy,17.17
P00423,beauty,Nova,24.34
P00424,grocery,Kairo,71.05
P00425,apparel,Nova,42.68
P00426,home,Sonic,18.42
P00427,sports,Alpina,45.07
P00428,apparel,Alpina,24.68
P00429,apparel,Alpina,31.22
P00430,beauty,Nova,29.3
P00431,home,Sonic,5.6
P00432,beauty,Sonic,2.91
P00433,electronics,Nova,28.75
P00434,home,Leafy,13.5
P00435,apparel,Alpina,7.79
P00436,apparel,Alpina,13.8
P00437,home,Alpina,46.86
P00438,apparel,Zentra,31.52
P00439,beauty,Zentra,42.11
P00440,apparel,Sonic,33.69
P00441,grocery,Leafy,12.89
P00442,home,Kairo,42.25
P00443,sports,Zentra,36.97
P00444,apparel,Zentra,22.6
P00445,grocery,Acme,25.56
P00446,sports,Zentra,42.72
P00447,beauty,Zentra,14.52
P00448,grocery,Sonic,52.54
P00449,grocery,Kairo,36.44
P00450,apparel,Nova,24.57
P00451,apparel,Kairo,71.66
P00452,apparel,Sonic,9.91
P00453,sports,Acme,17.78
P00454,grocery,Zentra,15.22
P00455,beauty,Zentra,31.52
P00456,sports,Acme,56.13
P00457,home,Acme,12.33
P00458,beauty,Leafy,248.1
P00459,home,Alpina,15.43
P00460,grocery,Zentra,31.58
P00461,sports,Leafy,24.58
P00462,sports,Zentra,25.34
P00463,beauty,Acme,14.09
P00464,beauty,Zentra,51.79
P00465,home,Alpina,13.49
P00466,home,Nova,7.11
P00467,home,Leafy,11.19
P00468,grocery,Kairo,67.47
P00469,electronics,Kairo,58.87
P00470,beauty,Leafy,6.02
P00471,grocery,Alpina,43.36
P00472,electronics,Sonic,6.13
P00473,sports,Leafy,24.07
P00474,sports,Zentra,10.53
P00475,home,Alpina,45.77
P00476,electronics,Zentra,36.17
P00477,beauty,Zentra,48.7
P00478,sports,Leafy,19.95
P00479,beauty,Kairo,21.46
P00480,electronics,Zentra,8.59
P00481,grocery,Acme,11.93
P00482,sports,Zentra,47.65
P00483,home,Leafy,31.72
P00484,home,Acme,26.39
P00485,grocery,Alpina,59.35
P00486,sports,Leafy,9.87
P00487,sports,Zentra,40.61
P00488,sports,Leafy,10.75
P00489,apparel,Kairo,69.03
P00490,apparel,Nova,35.91
P00491,beauty,Kairo,48.19
P00492,apparel,Acme,15.01
P00493,electronics,Alpina,113.01
P00494,home,Leafy,99.38
P00495,electronics,Zentra,33.16
P00496,sports,Acme,55.85
P00497,sports,Nova,19.86
P00498,grocery,Kairo,10.1
P00499,sports,Leafy,42.82
