customer_id,age,region,loyalty_tier
C000428,48,Northeast,None
C000429,23,Northeast,Silver
C000430,33,Northeast,Silver
C000431,54,West,None
C000432,19,West,None
C000433,20,Canada,Gold
C000434,30,Midwest,Gold
C000435,61,South,Silver
C000436,63,Canada,Silver
C000437,18,Northeast,Silver
C000438,33,West,None
C000439,21,Canada,Gold
C000440,18,South,None
C000441,71,Northeast,Silver
C000442,42,West,None
C000443,63,West,Silver
C000444,56,Northeast,Silver
C000445,43,Midwest,Silver
C000446,60,South,None
C000447,32,West,Silver
C000448,41,West,Silver
C000449,39,Midwest,Silver
C000450,50,Canada,None
C000451,29,South,Silver
C000452,60,Canada,Silver
C000453,65,Midwest,None
C000454,68,Northeast,Silver
C000455,68,Northeast,None
C000456,54,Northeast,Silver
C000457,63,Midwest,None
C000458,57,West,Gold
C000459,72,West,None
C000460,23,Canada,None
C000461,29,Northeast,None
C000462,41,Northeast,Gold
C000463,53,West,None
C000464,68,South,None
C000465,23,Canada,None
C000466,27,West,Silver
C000467,67,West,None
C000468,35,Midwest,Silver
C000469,18,Canada,None
C000470,56,Northeast,None
C000471,68,Canada,None
C000472,69,Canada,Silver
C000473,66,West,None
C000474,21,South,Platinum
C000475,25,South,None
C000476,67,Northeast,Silver
C000477,57,Midwest,None
C000478,30,West,None
C000479,40,Northeast,Gold
C000480,67,Midwest,Silver
C000481,70,South,Silver
C000482,68,Midwest,Silver
C000483,44,Northeast,None
C000484,62,Canada,Gold
C000485,20,Northeast,None
C000486,70,West,Gold
C000487,30,Midwest,Silver
C000488,72,Canada,None
C000489,18,South,Silver
C000490,70,Northeast,Platinum
C000491,48,Midwest,None
C000492,47,Canada,None
C000493,56,West,Silver
C000494,44,Canada,None
C000495,72,Midwest,None
C000496,23,South,Silver
C000497,55,South,Gold
C000498,30,Canada,Silver
C000499,20,South,Gold
C000500,55,Midwest,None
C000501,56,Midwest,None
C000502,25,South,None
C000503,59,Midwest,None
C000504,71,Northeast,Silver
C000505,57,Canada,None
C000506,30,West,None
C000507,22,South,Silver
C000508,23,Midwest,Silver
C000509,53,Northeast,Silver
C000510,31,Canada,Silver
C000511,39,Northeast,Platinum
C000512,20,Canada,Silver
C000513,43,Canada,Gold
C000514,27,Midwest,Platinum
C000515,42,Canada,Gold
C000516,51,Canada,None
C000517,72,Canada,Silver
C000518,34,South,None
C000519,36,Canada,None
C000520,63,South,Silver
C000521,72,Canada,None
C000522,41,Northeast,Silver
C000523,37,Midwest,Gold
C000524,58,Midwest,None
C000525,60,Canada,Gold
C000526,58,Midwest,Silver
C000527,54,Midwest,Gold
C000528,25,South,None
C000529,32,South,Gold
C000530,21,Midwest,None
C000531,40,Canada,Gold
C000532,65,Canada,None
C000533,30,South,None
C000534,57,Canada,None
C000535,41,Northeast,Silver
C000536,27,Midwest,Gold
C000537,30,Northeast,Silver
C000538,56,South,Silver
C000539,63,Northeast,None
C000540,36,Midwest,Platinum
C000541,70,South,None
C000542,21,South,Gold
C000543,50,Northeast,Silver
C000544,31,Midwest,None
C000545,68,South,None
C000546,61,Canada,Silver
C000547,21,Canada,Gold
C000548,40,Canada,Silver
C000549,60,West,Gold
C000550,49,South,Platinum
C000551,45,Northeast,None
C000552,25,West,Silver
C000553,50,West,Silver
C000554,23,Midwest,None
C000555,36,Canada,Silver
C000556,31,Canada,None
C000557,55,Canada,Silver
C000558,44,Canada,Silver
C000559,42,Northeast,Gold
C000560,66,Canada,Silver
C000561,40,Canada,Silver
C000562,61,South,None
C000563,68,Northeast,Gold
C000564,27,South,None
C000565,60,South,Silver
C000566,22,Northeast,Gold
C000567,54,West,None
C000568,30,South,None
C000569,32,Northeast,None
C000570,66,West,Silver
C000571,28,South,None
C000572,47,Canada,None
C000573,62,West,None
C000574,63,Northeast,None
C000575,29,Canada,None
C000576,39,Canada,Silver
C000577,50,Canada,Silver
C000578,51,Midwest,Silver
C000579,27,South,None
C000580,51,Northeast,Gold
C000581,18,South,Silver
C000582,53,South,Gold
C000583,59,South,Silver
C000584,44,South,None
C000585,31,Canada,Silver
C000586,31,South,None
C000587,57,Northeast,Platinum
C000588,42,South,Silver
C000589,70,South,None
C000590,73,Midwest,None
C000591,42,South,Silver
C000592,33,Northeast,None
C000593,64,West,None
C000594,59,Canada,Gold
C000595,27,Northeast,None
C000596,71,Canada,None
C000597,29,West,None
C000598,50,South,Silver
C000599,28,West,Silver
C000600,45,Northeast,Silver
C000601,53,South,Platinum
C000602,24,South,None
C000603,32,Northeast,None
C000604,60,West,None
C000605,72,West,None
C000606,69,Canada,None
C000607,60,West,None
C000608,73,Northeast,Gold
C000609,27,Canada,None
C000610,29,Northeast,Gold
C000611,41,Midwest,Gold
C000612,70,Northeast,Silver
C000613,63,West,Gold
C000614,39,South,Silver
C000615,18,Northeast,None
C000616,53,South,Silver
C000617,35,Midwest,None
C000618,30,South,None
C000619,30,Northeast,Gold
C000620,32,West,Silver
C000621,36,Northeast,None
C000622,53,Canada,Silver
C000623,27,Canada,Platinum
C000624,45,Midwest,None
C000625,70,Midwest,None
C000626,72,Northeast,None
C000627,65,Canada,Platinum
C000628,33,South,Silver
C000629,26,Northeast,None
C000630,68,Midwest,Silver
C000631,41,Northeast,Silver
C000632,44,Midwest,None
C000633,42,South,Gold
C000634,25,West,Silver
C000635,59,Midwest,None
C000636,31,South,Platinum
C000637,31,Northeast,None
C000638,61,Northeast,None
C000639,58,Midwest,None
C000640,65,Midwest,None
C000641,58,West,Silver
C000642,20,Midwest,None
C000643,41,Northeast,None
C000644,41,South,Platinum
C000645,36,South,None
C000646,46,West,None
C000647,46,South,None
C000648,53,West,Gold
C000649,72,West,None
C000650,55,West,None
C000651,71,Canada,Gold
C000652,65,Midwest,None
C000653,59,South,Gold
C000654,33,West,Silver
C000655,50,Canada,Gold
C000656,24,South,None
C000657,70,Northeast,Platinum
C000658,28,West,None
C000659,31,Midwest,None
C000660,71,Midwest,Silver
C000661,24,Canada,None
C000662,49,Midwest,None
C000663,50,Midwest,Silver
C000664,30,West,None
C000665,40,Canada,None
C000666,62,South,None
C000667,58,South,None
C000668,51,South,Silver
C000669,49,South,Silver
C000670,38,South,None
C000671,53,West,None
C000672,19,Midwest,None
C000673,22,Northeast,None
C000674,62,West,None
C000675,27,West,Silver
C000676,58,West,None
C000677,18,Midwest,Silver
C000678,32,Midwest,None
C000679,71,Midwest,None
C000680,33,Canada,None
C000681,74,West,None
C000682,33,Northeast,Silver
C000683,54,South,Silver
C000684,56,West,Platinum
C000685,54,Canada,None
C000686,34,South,None
C000687,61,West,Gold
C000688,35,Midwest,Silver
C000689,64,Canada,None
C000690,39,Canada,None
C000691,65,West,None
C000692,73,Northeast,None
C000693,61,Northeast,Silver
C000694,44,Canada,None
C000695,42,South,Platinum
C000696,39,South,Silver
C000697,38,South,Silver
C000698,44,South,None
C000699,45,Midwest,Silver
C000700,58,West,Gold
C000701,68,West,None
C000702,68,West,Silver
C000703,52,South,None
C000704,74,Northeast,None
C000705,68,Northeast,Gold
C000706,45,South,Silver
C000707,41,South,Silver
C000708,44,Northeast,None
C000709,19,Northeast,Gold
C000710,36,West,Silver
C000711,39,Northeast,None
C000712,62,West,Gold
C000713,32,Canada,None
C000714,55,Canada,None
C000715,36,West,Gold
C000716,38,West,None
C000717,21,Canada,None
C000718,47,Midwest,None
C000719,23,West,Gold
C000720,29,South,None
C000721,46,Midwest,None
C000722,57,Canada,None
C000723,41,Canada,None
C000724,32,South,None
C000725,69,Canada,Gold
C000726,37,Midwest,Silver
C000727,36,Midwest,Gold
C000728,21,Northeast,Silver
C000729,38,Northeast,None
C000730,30,Northeast,None
C000731,38,Canada,Silver
C000732,29,West,None
C000733,29,South,Silver
C000734,59,Midwest,None
C000735,45,South,Silver
C000736,57,West,None
C000737,50,Canada,None
C000738,48,Midwest,Platinum
C000739,44,West,None
C000740,40,Midwest,None
C000741,32,West,None
C000742,68,South,None
C000743,41,West,Silver
C000744,68,Northeast,Platinum
C000745,61,South,Gold
C000746,52,Canada,Silver
C000747,66,West,Silver
C000748,55,Canada,None
C000749,64,Northeast,Gold
C000750,63,West,Silver
C000751,54,Northeast,None
C000752,59,West,Platinum
C000753,64,South,Silver
C000754,30,Canada,None
C000755,67,Canada,Silver
C000756,46,Canada,None
C000757,24,South,None
C000758,26,West,None
C000759,60,Canada,Silver
C000760,64,Northeast,None
C000761,55,Canada,None
C000762,55,Canada,None
C000763,67,Northeast,None
C000764,73,South,Silver
C000765,65,Canada,None
C000766,25,South,None
C000767,63,Canada,None
C000768,47,West,None
C000769,63,South,None
C000770,59,Canada,Gold
C000771,56,Northeast,None
C000772,67,Midwest,None
C000773,26,Canada,None
C000774,66,Midwest,Silver
C000775,37,Canada,None
C000776,29,South,Silver
C000777,59,West,Silver
C000778,73,West,None
C000779,23,Midwest,None
C000780,73,Midwest,Platinum
C000781,37,Midwest,None
C000782,73,South,Silver
C000783,20,Midwest,Silver
C000784,52,South,None
C000785,48,South,Silver
C000786,65,Canada,None
C000787,44,Canada,None
C000788,22,Midwest,Silver
C000789,28,Northeast,Gold
C000790,32,West,None
C000791,67,West,Silver
C000792,23,West,None
C000793,65,Canada,Silver
C000794,46,Midwest,None
C000795,50,Canada,None
C000796,72,Northeast,Platinum
C000797,61,South,Silver
C000798,55,Midwest,None
C000799,64,South,Platinum
