event_id,customer_id,product_id,event_type,timestamp
E004566,C000212,P00340,cart,2024-01-02T17:53:00
E000367,C000336,P00256,cart,2024-01-02T18:13:00
E000919,C000632,P00424,view,2024-01-02T18:14:00
E005794,C000442,P00390,cart,2024-01-02T18:25:00
E003024,C000654,P00305,cart,2024-01-02T18:30:00
E004351,C000157,P00337,purchase,2024-01-02T18:50:00
E001440,C000357,P00314,view,2024-01-02T18:51:00
E002758,C000209,P00292,view,2024-01-02T19:06:00
E000275,C000500,P00206,view,2024-01-02T19:35:00
E001866,C000776,P00162,view,2024-01-02T19:46:00
E000310,C000746,P00357,view,2024-01-02T21:07:00
E002544,C000752,P00107,cart,2024-01-02T21:48:00
E003202,C000526,P00265,view,2024-01-02T22:00:00
E000591,C000534,P00374,view,2024-01-02T22:15:00
E001634,C000692,P00131,cart,2024-01-02T23:20:00
E005826,C000058,P00238,view,2024-01-03T00:03:00
E003708,C000677,P00239,view,2024-01-03T00:07:00
E002627,C000779,P00493,purchase,2024-01-03T00:23:00
E005403,C000546,P00350,view,2024-01-03T00:42:00
E000602,C000389,P00144,view,2024-01-03T00:46:00
E002047,C000683,P00321,cart,2024-01-03T00:46:00
E001025,C000339,P00199,purchase,2024-01-03T00:49:00
E005558,C000141,P00311,view,2024-01-03T01:11:00
E000505,C000532,P00072,cart,2024-01-03T01:13:00
E003085,C000234,P00071,view,2024-01-03T01:40:00
E004625,C000072,P00302,purchase,2024-01-03T01:58:00
E003913,C000060,P00073,purchase,2024-01-03T02:08:00
E000961,C000333,P00198,view,2024-01-03T02:19:00
E000722,C000582,P00339,cart,2024-01-03T02:30:00
E005288,C000501,P00220,view,2024-01-03T02:49:00
E000642,C000082,P00251,view,2024-01-03T04:15:00
E002049,C000736,P00037,purchase,2024-01-03T05:12:00
E001151,C000525,P00022,cart,2024-01-03T05:28:00
E002853,C000122,P00267,purchase,2024-01-03T05:38:00
E000442,C000325,P00464,view,2024-01-03T06:14:00
E003936,C000682,P00440,view,2024-01-03T06:28:00
E004947,C000336,P00416,view,2024-01-03T07:19:00
E004426,C000045,P00364,view,2024-01-03T08:34:00
E001181,C000333,P00450,cart,2024-01-03T09:27:00
E005584,C000074,P00028,cart,2024-01-03T09:37:00
E002707,C000267,P00062,cart,2024-01-03T09:48:00
E001714,C000648,P00208,view,2024-01-03T10:10:00
E004465,C000366,P00164,view,2024-01-03T10:25:00
E003531,C000561,P00403,view,2024-01-03T10:37:00
E003997,C000026,P00345,cart,2024-01-03T11:42:00
E004720,C000100,P00392,purchase,2024-01-03T12:18:00
E004111,C000473,P00193,view,2024-01-03T12:20:00
E005360,C000717,P00208,view,2024-01-03T12:25:00
E002921,C000017,P00022,view,2024-01-03T12:28:00
E002068,C000554,P00439,view,2024-01-03T12:47:00
E005393,C000604,P00486,purchase,2024-01-03T13:03:00
E001117,C000423,P00497,view,2024-01-03T13:33:00
E002695,C000369,P00262,view,2024-01-03T14:34:00
E000215,C000617,P00162,view,2024-01-03T14:36:00
E000243,C000694,P00061,view,2024-01-03T14:56:00
E005987,C000381,P00256,view,2024-01-03T16:04:00
E005316,C000111,P00492,view,2024-01-03T16:13:00
E003519,C000577,P00439,view,2024-01-03T16:18:00
E005247,C000765,P00019,cart,2024-01-03T16:30:00
E003436,C000729,P00176,view,2024-01-03T16:37:00
E004024,C000300,P00183,view,2024-01-03T16:52:00
E004030,C000602,P00018,view,2024-01-03T17:26:00
E003784,C000168,P00434,cart,2024-01-03T17:33:00
E003418,C000648,P00429,view,2024-01-03T18:18:00
E000388,C000363,P00137,view,2024-01-03T18:24:00
E001756,C000309,P00219,view,2024-01-03T18:27:00
E001066,C000425,P00444,view,2024-01-03T19:44:00
E003552,C000355,P00019,purchase,2024-01-03T19:50:00
E005753,C000759,P00476,cart,2024-01-03T20:03:00
E004078,C000443,P00074,view,2024-01-03T20:40:00
E003283,C000235,P00070,cart,2024-01-03T20:55:00
E005777,C000536,P00074,purchase,2024-01-03T21:01:00
E000328,C000661,P00092,view,2024-01-03T21:58:00
E000216,C000639,P00268,view,2024-01-03T22:20:00
E003981,C000033,P00366,cart,2024-01-03T23:15:00
E000030,C000765,P00352,view,2024-01-03T23:23:00
E004023,C000115,P00117,cart,2024-01-03T23:38:00
E002309,C000065,P00041,purchase,2024-01-04T00:10:00
E005352,C000434,P00481,purchase,2024-01-04T00:13:00
E005881,C000376,P00113,view,2024-01-04T00:46:00
E004732,C000480,P00476,view,2024-01-04T00:50:00
E005966,C000081,P00161,view,2024-01-04T01:46:00
E004293,C000365,P00232,cart,2024-01-04T02:10:00
E003587,C000569,P00212,cart,2024-01-04T02:54:00
E003976,C000707,P00454,cart,2024-01-04T03:37:00
E004811,C000229,P00146,view,2024-01-04T04:45:00
E000551,C000603,P00082,view,2024-01-04T05:36:00
E004582,C000383,P00240,view,2024-01-04T05:45:00
E004076,C000060,P00111,view,2024-01-04T06:01:00
E001345,C000092,P00262,purchase,2024-01-04T06:05:00
E001673,C000261,P00167,view,2024-01-04T06:07:00
E001169,C000543,P00109,view,2024-01-04T07:33:00
E003402,C000195,P00164,cart,2024-01-04T09:11:00
E000085,C000009,P00406,view,2024-01-04T09:35:00
E003538,C000752,P00387,purchase,2024-01-04T09:37:00
E001978,C000237,P00339,purchase,2024-01-04T10:10:00
E000157,C000468,P00181,purchase,2024-01-04T10:21:00
E002847,C000585,P00347,cart,2024-01-04T10:28:00
E005653,C000110,P00458,view,2024-01-04T10:33:00
E001814,C000530,P00428,view,2024-01-04T11:30:00
E002591,C000483,P00365,purchase,2024-01-04T12:26:00
E003184,C000732,P00421,purchase,2024-01-04T12:36:00
E002828,C000242,P00185,purchase,2024-01-04T13:44:00
E003698,C000655,P00036,view,2024-01-04T13:52:00
E003746,C000674,P00302,view,2024-01-04T14:03:00
E000059,C000519,P00197,view,2024-01-04T14:08:00
E003700,C000260,P00003,purchase,2024-01-04T14:19:00
E001778,C000570,P00412,cart,2024-01-04T14:23:00
E003072,C000136,P00124,view,2024-01-04T14:36:00
E000481,C000636,P00024,view,2024-01-04T15:20:00
E005235,C000528,P00187,purchase,2024-01-04T15:21:00
E003665,C000438,P00208,view,2024-01-04T16:09:00
E000303,C000164,P00072,view,2024-01-04T16:19:00
E004256,C000284,P00326,cart,2024-01-04T16:48:00
E000202,C000294,P00170,view,2024-01-04T17:45:00
E002952,C000568,P00222,purchase,2024-01-04T18:09:00
E002837,C000658,P00381,cart,2024-01-04T18:57:00
E000876,C000313,P00117,view,2024-01-04T20:27:00
E000833,C000056,P00402,purchase,2024-01-04T20:30:00
E002690,C000442,P00360,view,2024-01-04T22:21:00
E001675,C000013,P00263,purchase,2024-01-04T22:25:00
E001645,C000063,P00093,view,2024-01-04T22:33:00
E004873,C000591,P00271,view,2024-01-04T22:55:00
E000382,C000604,P00465,cart,2024-01-04T23:24:00
E000835,C000631,P00322,view,2024-01-05T00:08:00
E005450,C000483,P00174,view,2024-01-05T00:24:00
E001400,C000364,P00321,purchase,2024-01-05T00:38:00
E002741,C000433,P00247,purchase,2024-01-05T00:53:00
E001179,C000153,P00094,view,2024-01-05T02:01:00
E002091,C000150,P00375,view,2024-01-05T02:01:00
E003271,C000771,P00461,view,2024-01-05T02:41:00
E005294,C000398,P00056,cart,2024-01-05T02:46:00
E004921,C000377,P00295,view,2024-01-05T03:09:00
E001379,C000513,P00297,cart,2024-01-05T04:10:00
E001322,C000342,P00302,cart,2024-01-05T04:39:00
E001544,C000797,P00296,purchase,2024-01-05T06:09:00
E005902,C000160,P00082,view,2024-01-05T06:13:00
E005727,C000647,P00021,view,2024-01-05T06:22:00
E000180,C000146,P00059,view,2024-01-05T06:41:00
E000286,C000319,P00125,cart,2024-01-05T07:11:00
E005659,C000621,P00077,view,2024-01-05T09:03:00
E005308,C000648,P00093,view,2024-01-05T09:07:00
E003681,C000198,P00047,purchase,2024-01-05T09:19:00
E005793,C000255,P00342,view,2024-01-05T09:42:00
E005707,C000017,P00199,view,2024-01-05T09:43:00
E004997,C000130,P00203,view,2024-01-05T10:43:00
E000628,C000359,P00468,view,2024-01-05T10:50:00
E004377,C000127,P00397,cart,2024-01-05T11:35:00
E005914,C000723,P00052,view,2024-01-05T11:49:00
E005286,C000602,P00297,purchase,2024-01-05T12:12:00
E004098,C000625,P00050,cart,2024-01-05T12:12:00
E005065,C000121,P00240,purchase,2024-01-05T12:17:00
E002303,C000076,P00426,view,2024-01-05T12:30:00
E001121,C000766,P00399,cart,2024-01-05T13:35:00
E001697,C000658,P00083,view,2024-01-05T13:48:00
E001425,C000179,P00201,view,2024-01-05T14:03:00
E004110,C000484,P00454,view,2024-01-05T14:10:00
E003234,C000017,P00443,view,2024-01-05T15:11:00
E003671,C000352,P00326,cart,2024-01-05T15:39:00
E003544,C000266,P00325,view,2024-01-05T15:59:00
E004854,C000457,P00247,view,2024-01-05T16:30:00
E000887,C000693,P00410,purchase,2024-01-05T16:51:00
E001505,C000445,P00483,view,2024-01-05T17:01:00
E004926,C000658,P00032,purchase,2024-01-05T17:25:00
E003603,C000131,P00085,purchase,2024-01-05T18:12:00
E004315,C000753,P00199,view,2024-01-05T19:24:00
E003320,C000280,P00052,cart,2024-01-05T19:50:00
E000315,C000601,P00103,purchase,2024-01-05T21:08:00
E002672,C000363,P00024,view,2024-01-05T21:58:00
E004611,C000690,P00111,view,2024-01-05T22:03:00
E004517,C000718,P00006,view,2024-01-05T22:20:00
E001960,C000563,P00455,view,2024-01-05T22:46:00
E005950,C000595,P00016,view,2024-01-05T23:37:00
E001380,C000076,P00376,view,2024-01-06T02:57:00
E000223,C000523,P00381,purchase,2024-01-06T03:10:00
E003674,C000102,P00414,view,2024-01-06T03:29:00
E003839,C000317,P00487,purchase,2024-01-06T03:57:00
E000922,C000295,P00053,cart,2024-01-06T04:07:00
E002120,C000404,P00155,purchase,2024-01-06T04:19:00
E001992,C000049,P00037,purchase,2024-01-06T05:12:00
E003179,C000380,P00041,view,2024-01-06T06:51:00
E001897,C000304,P00383,cart,2024-01-06T07:07:00
E000788,C000730,P00244,cart,2024-01-06T07:14:00
E004316,C000087,P00229,view,2024-01-06T08:07:00
E004595,C000798,P00277,view,2024-01-06T08:16:00
E002873,C000503,P00179,cart,2024-01-06T09:28:00
E001810,C000535,P00214,cart,2024-01-06T09:29:00
E002392,C000734,P00367,purchase,2024-01-06T09:36:00
E004842,C000670,P00422,cart,2024-01-06T09:36:00
E001207,C000597,P00032,view,2024-01-06T11:07:00
E000300,C000351,P00371,purchase,2024-01-06T11:16:00
E001362,C000302,P00042,view,2024-01-06T11:20:00
E000914,C000775,P00292,cart,2024-01-06T11:30:00
E001917,C000612,P00156,view,2024-01-06T11:56:00
E003300,C000057,P00149,view,2024-01-06T13:15:00
E003779,C000307,P00365,view,2024-01-06T14:39:00
E001593,C000487,P00156,purchase,2024-01-06T15:35:00
E001082,C000550,P00044,view,2024-01-06T15:38:00
E005720,C000770,P00237,purchase,2024-01-06T17:31:00
E000640,C000143,P00301,view,2024-01-06T17:34:00
E001057,C000645,P00455,view,2024-01-06T17:35:00
E000465,C000496,P00170,view,2024-01-06T17:46:00
E000321,C000021,P00359,view,2024-01-06T17:57:00
E005167,C000283,P00297,cart,2024-01-06T18:05:00
E005222,C000676,P00020,view,2024-01-06T18:20:00
E000466,C000073,P00453,purchase,2024-01-06T18:45:00
E003672,C000566,P00435,view,2024-01-06T19:13:00
E002726,C000072,P00305,purchase,2024-01-06T19:34:00
E002702,C000072,P00238,view,2024-01-06T19:37:00
E005893,C000500,P00206,view,2024-01-06T20:07:00
E000728,C000292,P00219,view,2024-01-06T20:07:00
E000535,C000355,P00157,view,2024-01-06T20:55:00
E001023,C000605,P00355,view,2024-01-06T21:12:00
E000799,C000526,P00354,view,2024-01-06T21:43:00
E000087,C000550,P00160,view,2024-01-06T21:49:00
E005447,C000209,P00286,view,2024-01-06T22:51:00
E003227,C000515,P00440,view,2024-01-06T23:13:00
E005492,C000172,P00048,view,2024-01-07T00:00:00
E004646,C000241,P00262,view,2024-01-07T00:05:00
E005169,C000433,P00471,view,2024-01-07T00:08:00
E002315,C000503,P00271,view,2024-01-07T00:18:00
E000569,C000359,P00454,view,2024-01-07T00:18:00
E002075,C000076,P00161,view,2024-01-07T00:28:00
E004357,C000060,P00097,view,2024-01-07T01:52:00
E005512,C000148,P00415,view,2024-01-07T02:13:00
E000691,C000100,P00445,purchase,2024-01-07T02:21:00
E005809,C000579,P00187,cart,2024-01-07T02:48:00
E004129,C000288,P00106,view,2024-01-07T03:36:00
E002809,C000546,P00085,view,2024-01-07T03:49:00
E004488,C000584,P00149,view,2024-01-07T03:52:00
E003676,C000656,P00033,view,2024-01-07T04:25:00
E005985,C000765,P00256,view,2024-01-07T04:54:00
E005364,C000422,P00055,cart,2024-01-07T05:47:00
E003007,C000707,P00360,view,2024-01-07T06:11:00
E005888,C000067,P00247,purchase,2024-01-07T06:50:00
E003661,C000419,P00344,view,2024-01-07T06:51:00
E001736,C000243,P00018,cart,2024-01-07T07:20:00
E004244,C000328,P00225,view,2024-01-07T07:27:00
E001275,C000577,P00141,cart,2024-01-07T09:17:00
E003828,C000078,P00422,cart,2024-01-07T09:24:00
E004817,C000712,P00451,purchase,2024-01-07T09:56:00
E005102,C000201,P00453,view,2024-01-07T09:58:00
E002920,C000706,P00268,view,2024-01-07T11:08:00
E002359,C000114,P00239,purchase,2024-01-07T12:23:00
E003289,C000662,P00234,cart,2024-01-07T12:44:00
E000739,C000777,P00495,view,2024-01-07T12:59:00
E004094,C000234,P00309,view,2024-01-07T13:14:00
E000791,C000667,P00153,view,2024-01-07T13:26:00
E001826,C000406,P00489,purchase,2024-01-07T13:48:00
E002605,C000629,P00374,purchase,2024-01-07T14:20:00
E003082,C000451,P00015,view,2024-01-07T14:42:00
E003891,C000692,P00334,view,2024-01-07T15:36:00
E005705,C000393,P00481,view,2024-01-07T15:49:00
E002563,C000505,P00254,purchase,2024-01-07T15:53:00
E001448,C000761,P00071,view,2024-01-07T16:12:00
E004512,C000113,P00024,view,2024-01-07T16:41:00
E005560,C000121,P00477,view,2024-01-07T16:45:00
E003057,C000147,P00327,purchase,2024-01-07T16:55:00
E000128,C000064,P00267,view,2024-01-07T18:24:00
E005703,C000280,P00040,view,2024-01-07T18:46:00
E000525,C000373,P00253,cart,2024-01-07T19:05:00
E000155,C000760,P00456,cart,2024-01-07T19:30:00
E001361,C000469,P00426,view,2024-01-07T20:18:00
E001198,C000478,P00386,view,2024-01-07T20:45:00
E005416,C000738,P00045,view,2024-01-07T21:11:00
E001655,C000482,P00351,view,2024-01-07T21:14:00
E000270,C000109,P00385,cart,2024-01-07T22:46:00
E004047,C000784,P00436,view,2024-01-08T00:00:00
E003800,C000216,P00403,view,2024-01-08T01:24:00
E003612,C000204,P00474,view,2024-01-08T01:38:00
E005146,C000024,P00257,cart,2024-01-08T02:12:00
E004176,C000391,P00235,view,2024-01-08T02:39:00
E003686,C000146,P00365,cart,2024-01-08T03:23:00
E003492,C000092,P00002,view,2024-01-08T03:40:00
E000187,C000765,P00295,view,2024-01-08T04:13:00
E001596,C000612,P00389,view,2024-01-08T04:14:00
E002385,C000484,P00247,view,2024-01-08T04:17:00
E005243,C000305,P00361,view,2024-01-08T04:44:00
E001806,C000593,P00249,view,2024-01-08T05:02:00
E005328,C000658,P00147,purchase,2024-01-08T05:11:00
E001267,C000233,P00243,cart,2024-01-08T05:16:00
E002717,C000363,P00282,cart,2024-01-08T06:06:00
E000450,C000621,P00238,view,2024-01-08T06:20:00
E001029,C000602,P00479,view,2024-01-08T06:37:00
E003336,C000046,P00143,view,2024-01-08T07:20:00
E000273,C000584,P00093,view,2024-01-08T07:43:00
E003506,C000257,P00128,purchase,2024-01-08T08:59:00
E005428,C000579,P00211,view,2024-01-08T09:38:00
E002056,C000494,P00112,view,2024-01-08T10:17:00
E004700,C000779,P00430,view,2024-01-08T11:31:00
E004505,C000661,P00128,view,2024-01-08T11:34:00
E000866,C000322,P00466,view,2024-01-08T12:06:00
E001051,C000756,P00425,cart,2024-01-08T12:42:00
E003141,C000442,P00498,view,2024-01-08T13:19:00
E000740,C000285,P00164,view,2024-01-08T14:16:00
E003939,C000473,P00422,view,2024-01-08T14:44:00
E003738,C000745,P00216,view,2024-01-08T15:07:00
E005643,C000317,P00238,view,2024-01-08T15:16:00
E003678,C000449,P00258,view,2024-01-08T15:34:00
E004721,C000478,P00244,view,2024-01-08T16:00:00
E000654,C000021,P00250,view,2024-01-08T16:09:00
E002367,C000400,P00041,view,2024-01-08T16:17:00
E002662,C000276,P00040,view,2024-01-08T16:51:00
E001646,C000617,P00020,view,2024-01-08T16:51:00
E004726,C000047,P00449,view,2024-01-08T17:16:00
E004267,C000282,P00383,view,2024-01-08T17:19:00
E001754,C000188,P00306,purchase,2024-01-08T17:25:00
E003315,C000540,P00384,view,2024-01-08T17:57:00
E005516,C000478,P00167,view,2024-01-08T18:58:00
E004617,C000679,P00270,cart,2024-01-08T19:20:00
E002831,C000264,P00317,view,2024-01-08T20:21:00
E000666,C000184,P00167,view,2024-01-08T21:30:00
E005838,C000345,P00306,view,2024-01-08T22:38:00
E004780,C000202,P00203,view,2024-01-08T22:48:00
E004349,C000373,P00121,cart,2024-01-08T23:37:00
E000350,C000399,P00239,purchase,2024-01-09T01:03:00
E004266,C000402,P00322,view,2024-01-09T01:12:00
E000812,C000123,P00151,view,2024-01-09T01:23:00
E002795,C000472,P00323,view,2024-01-09T02:25:00
E001175,C000672,P00311,view,2024-01-09T02:30:00
E005884,C000022,P00231,purchase,2024-01-09T02:59:00
E000721,C000607,P00037,view,2024-01-09T03:43:00
E000047,C000500,P00079,view,2024-01-09T03:58:00
E002509,C000253,P00406,view,2024-01-09T04:16:00
E005595,C000528,P00103,cart,2024-01-09T04:18:00
E005947,C000126,P00315,purchase,2024-01-09T04:40:00
E002363,C000707,P00080,view,2024-01-09T05:12:00
E003291,C000365,P00121,purchase,2024-01-09T05:55:00
E004402,C000258,P00278,cart,2024-01-09T06:40:00
E001731,C000768,P00098,cart,2024-01-09T06:43:00
E001661,C000557,P00422,purchase,2024-01-09T07:36:00
E001845,C000520,P00222,view,2024-01-09T07:40:00
E002767,C000095,P00116,cart,2024-01-09T08:15:00
E000753,C000320,P00413,view,2024-01-09T09:37:00
E005564,C000520,P00416,purchase,2024-01-09T11:17:00
E004165,C000580,P00182,cart,2024-01-09T11:21:00
E004378,C000290,P00491,purchase,2024-01-09T13:17:00
E004823,C000126,P00251,cart,2024-01-09T13:22:00
E005464,C000387,P00072,view,2024-01-09T13:32:00
E002166,C000767,P00390,view,2024-01-09T13:39:00
E002768,C000179,P00294,view,2024-01-09T13:53:00
E000863,C000004,P00326,cart,2024-01-09T14:04:00
E001619,C000648,P00457,view,2024-01-09T14:11:00
E005801,C000713,P00233,view,2024-01-09T16:12:00
E000898,C000531,P00121,view,2024-01-09T16:25:00
E001480,C000396,P00035,view,2024-01-09T18:14:00
E005941,C000728,P00462,cart,2024-01-09T18:43:00
E004428,C000142,P00255,cart,2024-01-09T18:45:00
E001119,C000603,P00245,view,2024-01-09T18:51:00
E003872,C000413,P00033,purchase,2024-01-09T18:55:00
E002934,C000128,P00301,view,2024-01-09T19:20:00
E000980,C000271,P00207,view,2024-01-09T20:22:00
E003326,C000170,P00497,view,2024-01-09T20:58:00
E002821,C000182,P00494,view,2024-01-09T22:29:00
E005110,C000572,P00290,view,2024-01-09T23:17:00
E001608,C000201,P00373,purchase,2024-01-09T23:19:00
E002964,C000592,P00467,purchase,2024-01-09T23:22:00
E003703,C000234,P00198,cart,2024-01-09T23:38:00
E001789,C000009,P00313,cart,2024-01-10T00:00:00
E000821,C000089,P00060,view,2024-01-10T00:12:00
E004028,C000783,P00254,purchase,2024-01-10T00:13:00
E003705,C000795,P00239,cart,2024-01-10T00:24:00
E000281,C000741,P00078,view,2024-01-10T00:30:00
E000488,C000462,P00004,cart,2024-01-10T00:36:00
E005032,C000763,P00134,cart,2024-01-10T00:37:00
E004063,C000004,P00074,view,2024-01-10T00:51:00
E005165,C000461,P00127,view,2024-01-10T01:07:00
E004789,C000691,P00256,view,2024-01-10T01:40:00
E001360,C000771,P00180,view,2024-01-10T01:52:00
E001122,C000496,P00241,cart,2024-01-10T02:21:00
E005262,C000218,P00383,view,2024-01-10T03:04:00
E000579,C000002,P00060,view,2024-01-10T03:24:00
E001531,C000085,P00330,view,2024-01-10T03:31:00
E002141,C000451,P00383,view,2024-01-10T03:52:00
E002017,C000598,P00197,view,2024-01-10T04:12:00
E001943,C000641,P00448,view,2024-01-10T04:32:00
E000062,C000377,P00357,view,2024-01-10T04:48:00
E003321,C000727,P00137,purchase,2024-01-10T04:49:00
E003774,C000152,P00383,cart,2024-01-10T05:21:00
E000083,C000643,P00055,view,2024-01-10T05:23:00
E000689,C000644,P00260,view,2024-01-10T05:25:00
E005993,C000216,P00239,purchase,2024-01-10T06:24:00
E001976,C000468,P00265,view,2024-01-10T06:49:00
E002215,C000180,P00124,view,2024-01-10T06:59:00
E004197,C000162,P00155,view,2024-01-10T08:04:00
E004599,C000087,P00062,view,2024-01-10T09:24:00
E000871,C000117,P00112,view,2024-01-10T09:33:00
E002967,C000098,P00013,view,2024-01-10T10:06:00
E003209,C000167,P00308,view,2024-01-10T11:22:00
E005672,C000113,P00211,view,2024-01-10T11:30:00
E003706,C000022,P00090,purchase,2024-01-10T11:46:00
E005162,C000760,P00006,view,2024-01-10T12:05:00
E000944,C000134,P00116,purchase,2024-01-10T12:08:00
E004174,C000666,P00134,view,2024-01-10T12:39:00
E003212,C000318,P00338,view,2024-01-10T13:41:00
E000847,C000387,P00263,cart,2024-01-10T14:20:00
E000338,C000415,P00367,view,2024-01-10T14:31:00
E003335,C000645,P00463,cart,2024-01-10T15:01:00
E000329,C000390,P00376,cart,2024-01-10T16:03:00
E001547,C000508,P00459,purchase,2024-01-10T16:24:00
E002889,C000689,P00445,cart,2024-01-10T16:44:00
E004639,C000520,P00263,view,2024-01-10T17:16:00
E001706,C000021,P00097,view,2024-01-10T17:39:00
E004423,C000703,P00154,view,2024-01-10T18:01:00
E005267,C000446,P00123,cart,2024-01-10T18:04:00
E003957,C000460,P00198,purchase,2024-01-10T18:09:00
E000711,C000773,P00273,view,2024-01-10T18:10:00
E002163,C000773,P00179,view,2024-01-10T18:11:00
E002162,C000219,P00186,purchase,2024-01-10T18:21:00
E005354,C000489,P00218,view,2024-01-10T18:53:00
E002439,C000733,P00438,view,2024-01-10T18:59:00
E005449,C000585,P00424,cart,2024-01-10T20:13:00
E002016,C000592,P00418,view,2024-01-10T20:32:00
E000386,C000037,P00145,purchase,2024-01-10T20:49:00
E003655,C000484,P00030,view,2024-01-10T20:50:00
E001042,C000563,P00075,view,2024-01-10T22:07:00
E004798,C000621,P00296,cart,2024-01-10T23:05:00
E002264,C000266,P00031,view,2024-01-11T01:00:00
E003557,C000645,P00274,purchase,2024-01-11T01:17:00
E003862,C000508,P00264,cart,2024-01-11T01:27:00
E000088,C000641,P00060,cart,2024-01-11T02:22:00
E002579,C000036,P00153,view,2024-01-11T02:35:00
E000912,C000562,P00422,view,2024-01-11T02:58:00
E000537,C000549,P00076,view,2024-01-11T03:00:00
E005812,C000677,P00291,cart,2024-01-11T03:03:00
E000160,C000633,P00106,view,2024-01-11T03:27:00
E005397,C000409,P00171,cart,2024-01-11T03:37:00
E004681,C000614,P00398,view,2024-01-11T03:39:00
E004832,C000600,P00481,view,2024-01-11T04:32:00
E001952,C000414,P00015,cart,2024-01-11T05:00:00
E001264,C000041,P00100,view,2024-01-11T05:33:00
E002728,C000445,P00468,view,2024-01-11T05:40:00
E004942,C000686,P00296,purchase,2024-01-11T05:58:00
E004037,C000447,P00468,view,2024-01-11T06:07:00
